bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,reference_epochs,representation_weight,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,selection_protocol,seq_len,structural_only,trainable_parameters,training_ms_optimizer_step,variant,weight_decay,wide_batch_size
off,16,2,extension,1.0172658324951218,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h192.pt,86538caf04d45b88,early,2,False,ETTh1,16,127.76664214162156,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,6.805441941798269,,0.0007,0.44055688285141964,2048,1024,LatentFlow,0.44923558725187057,0.02,2689.0,1422510,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h192.json,53e6e37e4f27d29aa1b59372632820a8151dc30ff4d4fa536a20621d03141ecd,,0.6702503914596921,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,95.56494880416722,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,1.3008724455119802,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h336.pt,fcbfcf49bc256b0a,early,2,False,ETTh1,16,127.34410357102752,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.049398585163717,,0.0007,0.45424901281836333,2048,1024,LatentFlow,0.48029273990997007,0.02,2545.0,1479862,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h336.json,02f36626b75b814f621412ed3578527409f921542fcf13dee86903c8da08b4ee,,0.6930315576580695,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,95.15877667072346,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,1.5787925137413872,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h720.pt,7dbaac77b0cc00eb,early,2,False,ETTh1,16,127.13183142337948,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.180190158646498,,0.0007,0.4803721449625807,2048,1024,LatentFlow,0.49710112704298914,0.02,2161.0,1634910,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h720.json,dbdc0a1a329c8b50ba8fdf10542f0d26edcbde3bdb78fb1b6d29a293e170e96a,,0.7050539887434076,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,95.17683327867417,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,2,extension,0.7624445972698075,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h96.pt,c8747d8e763e2bf7,early,2,False,ETTh1,16,122.16997799099772,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,6.434532132900099,,0.0007,0.41171991355278315,2048,1024,LatentFlow,0.40215477523940685,0.02,2785.0,1384538,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h96.json,b19f3b6a968f9be92b4cbc4c0b8113b4d325bdc30a3cece6c30172bdfcd9726d,,0.634156743431312,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,91.3380384421771,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,4,extension,0.28349493222222444,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h192.pt,b629044c657328d7,early,2,False,ETTh2,16,129.34700441733003,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.136784432578587,,0.0007,0.40752161966316525,2048,1024,LatentFlow,0.39740199310103314,0.02,2689.0,1392262,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h192.json,cd8574ddf558501e7323eff6ae9f515298d82d4de3fd3b4370ba2665dd233562,,0.6303982813277913,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,0,96.6136558825383,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,0.3565130593622623,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h336.pt,a8c319cbbec082f3,early,2,False,ETTh2,16,123.44601850025356,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,6.706799745936937,,0.0007,0.4249041535223649,2048,1024,LatentFlow,0.41214913227932765,0.02,2545.0,1449614,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h336.json,9f071c5a58fb3927ad17d5444af392da52354ecc4f640402a977e5b8f3f6b859,,0.6419884206738683,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,0,92.2705235061585,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,0.6195506561370123,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h720.pt,1b72a81bb8d97055,early,2,False,ETTh2,16,125.84540193295106,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,6.59888897285755,,0.0007,0.44607007720645325,2048,1024,LatentFlow,0.42525227503688534,0.02,2161.0,1604662,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h720.json,7da92aad0df9eae2a2c468b426ae3c88227b5182d49a3fc1a1d53537eb6c0a52,,0.6521136979368592,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,0,94.27120596119494,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,0.22376768503870284,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h96.pt,1446cb6c3327930f,early,2,False,ETTh2,16,122.63473133556545,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,6.8713632880607785,,0.0007,0.3484349451687149,2048,1024,LatentFlow,0.30091272523548496,0.02,2785.0,1354290,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h96.json,c285b1a80575fc93dbfe25911cd3c0cb17f777e9c1436759f016a2781233acfb,,0.5485551250653711,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,0,91.61711009510327,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,1,extension,0.5086500046863442,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTm1/h192.pt,323731971fb66827,early,2,False,ETTm1,16,129.82088187523186,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,6.767706982422583,,0.0007,0.39792928345770845,2048,1024,LatentFlow,0.38387849383223926,0.02,11329.0,1380382,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTm1/h192.json,b085075bffc1ba58428b131f8bc137206170047914495aa82c4f9b25dcea2fc5,,0.6195792877689177,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,0,94.21058096486377,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,4,extension,0.6558191188338662,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTm1/h336.pt,1d7585fdd3e520ef,early,2,False,ETTm1,16,133.86331538087688,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v1,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,6.7400904615839305,,0.0007,0.4284935573755496,2048,1024,LatentFlow,0.4299403943818845,0.02,11185.0,1439992,,False,2,,physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTm1/h336.json,683c98962a1574768b307faa3b591dcb26b98fc3e733d393d19a1c91bb7e529c,,0.6556984019973546,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,0,97.34210951264686,scale-multiscale__bank-off__continuation-early,0.0001,4
